;Date;SMB
152;10/08/2001;0.002309519882173
153;13/08/2001;0.00325946301369577
154;14/08/2001;-0.0117557281232169
155;15/08/2001;-0.00450806984349069
156;16/08/2001;-0.000219052455665275
157;17/08/2001;-0.0101056034173092
158;20/08/2001;0.0169325744635703
159;21/08/2001;-0.0236751069109439
160;22/08/2001;-0.00982576128930994
161;23/08/2001;0.0203835306147852
162;24/08/2001;-0.00939825158103577
163;27/08/2001;0.00197301013231514
164;28/08/2001;-0.0131773891012617
165;29/08/2001;0.0041869500076884
166;30/08/2001;-0.00597740658212293
167;31/08/2001;0.00378623715928107
168;03/09/2001;0.0258893795204396
169;04/09/2001;-0.0116353798509853
170;05/09/2001;-0.0118877294399345
171;06/09/2001;0.010641688432232
172;10/09/2001;0.0122618606179503
173;11/09/2001;-0.00521883127283417
